Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
8c8e1c9a-b310-43c6-33a7-ad11bad21c40,1987-01-21,,999-35-6397,S99957832,X22616959X,Mr.,Britt177,Clifton91,Keeling57,,,M,white,nonhispanic,M,Waltham  Massachusetts  US,840 Grimes Well Apt 27,Duxbury,Massachusetts,Plymouth County,25023,02332,42.068929818471844,-70.70631994468269,94868.89,24033.16,60192
edc17058-55fb-08c7-12df-ece93a402e50,1986-03-31,,999-75-7017,S99916291,X68816273X,Mr.,Tobias236,Yong583,Harris789,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,166 Funk Burg,Gardner,Massachusetts,Worcester County,25027,01440,42.568845372210774,-71.96183525180287,161214.72,24287.84,44043
80e7f50a-3e99-d5ac-cf97-f8a4b4f9e6c7,2006-02-17,,999-63-2435,S99916556,,Ms.,Lu473,,Schimmel440,,,,white,nonhispanic,F,Naples  Campania  IT,218 Hodkiewicz Route,Ludlow,Massachusetts,Hampden County,,00000,42.148873574699984,-72.49746261627895,5063.58,89666.75,16637
782001bc-f712-50ae-04f5-9a488f3ef4aa,1991-10-20,,999-72-6313,S99963096,X63092846X,Ms.,Hortencia577,Francoise850,Renner328,,,S,white,hispanic,F,Weymouth  Massachusetts  US,113 Dooley Extension Unit 99,Hampden,Massachusetts,Hampden County,,00000,42.110805436535486,-72.40585815841523,90525.56,1391754.02,33549
30e48e16-2df7-207e-7a3d-1650ef0c1ed8,1956-06-10,1961-04-13,999-50-1537,,,,Caryl47,Elenore794,Cassin499,,,,white,nonhispanic,F,Lancaster  Massachusetts  US,1084 Zulauf Park,Bourne,Massachusetts,Barnstable County,25001,02532,41.765941720531565,-70.61634440837028,14631.18,848.66,145499
04181caa-fcc1-c6c8-743e-a903eff368de,1981-06-26,,999-66-5440,S99950987,X18677685X,Mr.,Fernando603,Reinaldo138,Conroy74,,,M,white,nonhispanic,M,South Deerfield  Massachusetts  US,581 Mueller Vista,Fitchburg,Massachusetts,Worcester County,25027,01420,42.55943800586566,-71.80850213472854,192358.38,49859.90,68376
a3d34c1f-5421-e078-38ec-1498a5941dbe,1979-10-29,,999-65-2707,S99962664,X53644870X,Mr.,Gustavo235,,Konopelski743,,,M,white,nonhispanic,M,Wakefield  Massachusetts  US,773 Osinski Village,Dudley,Massachusetts,Worcester County,,00000,42.028136710444905,-71.98278274587723,123377.29,11460.87,552690
57b21dea-ff00-6c3e-92d9-91c7627f53b2,2012-08-08,,999-14-8987,,,,Marion502,Goldie436,Hirthe744,,,,white,nonhispanic,F,West Chatham  Massachusetts  US,663 Davis Mews Suite 10,Brookfield,Massachusetts,Worcester County,25027,01506,42.219897645873985,-72.0657915535173,12493.99,6269.65,87235
2da86d63-34ae-b887-ddff-8f6f1e6990f1,2001-04-14,,999-70-4287,S99983186,X35958014X,Mr.,Philip822,Hayden835,Lindgren255,,,,white,nonhispanic,M,Everett  Massachusetts  US,1097 Langworth Harbor,Whitman,Massachusetts,Plymouth County,,00000,42.03243335473749,-70.93930705851244,64845.96,30783.50,30349
9f9dbdcb-23a1-82cc-b7bc-e0e420a95bd1,2015-01-07,,999-60-3983,,,,Garnet389,Raguel228,Bernier607,,,,white,nonhispanic,F,Peabody  Massachusetts  US,675 Stokes Ramp Suite 7,Springfield,Massachusetts,Hampden County,25013,01151,42.05696263829176,-72.55628209184924,24132.45,0.00,70476
e83fe1b3-f94f-5591-f851-1da300e24e99,2025-05-27,,999-19-4088,,,,Mac103,Chauncey770,Douglas31,,,,white,nonhispanic,M,Raynham Center  Massachusetts  US,310 Wisozk Boulevard,Gloucester,Massachusetts,Essex County,25009,01930,42.660769718729355,-70.71250116049944,1747.67,0.00,65814
be874504-c868-ebfd-9a77-df6b1e5ff6cc,1964-11-06,,999-44-8403,S99939819,X19120604X,Mrs.,Maryrose226,,Kessler503,,Heller342,M,white,nonhispanic,F,Boston  Massachusetts  US,227 Torp Key Apt 83,Falmouth,Massachusetts,Barnstable County,25001,02540,41.59726536911121,-70.61740505598446,188115.79,485137.82,26885
e6705c33-7349-8b12-484d-3b1f93227178,1998-05-15,,999-23-8269,S99915366,X23063878X,Mr.,Hugh686,,Kautzer186,,,,white,nonhispanic,M,Barnstable  Massachusetts  US,164 Davis Underpass Apt 8,Chelsea,Massachusetts,Suffolk County,25017,02149,42.411175599811216,-71.0296587311393,125909.16,595857.58,93781
406e8bad-81b5-7624-5b8a-4aeeb74028f5,1984-02-24,,999-46-9567,S99993312,X26875243X,Mr.,Julius90,Javier97,Kirlin939,,,M,asian,nonhispanic,M,Peabody  Massachusetts  US,1098 Wilkinson Annex Apt 78,Framingham,Massachusetts,Middlesex County,25017,01702,42.33681130827485,-71.42038904308514,63885.47,9646.03,28874
